Family,Major_Control,Sub-part,Title,Description,conlow,conmed,conhigh,integlow,integmed,integhigh,availlow,availmed,availhigh
AUDIT AND ACCOUNTABILITY,AU-1,AU-1a,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,"Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]:",X,X,X,X,X,X,X,X,X
AUDIT AND ACCOUNTABILITY,AU-1,AU-1a.1,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,"An audit and accountability policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",X,X,X,X,X,X,X,X,X
AUDIT AND ACCOUNTABILITY,AU-1,AU-1a.2,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,Procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls; and,X,X,X,X,X,X,X,X,X
AUDIT AND ACCOUNTABILITY,AU-1,AU-1b,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,Reviews and updates the current:,X,X,X,X,X,X,X,X,X
AUDIT AND ACCOUNTABILITY,AU-1,AU-1b.1,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,Audit and accountability policy [Assignment: organization-defined frequency]; and,X,X,X,X,X,X,X,X,X
AUDIT AND ACCOUNTABILITY,AU-1,AU-1b.2,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,Audit and accountability procedures [Assignment: organization-defined frequency].,X,X,X,X,X,X,X,X,X
AUDIT AND ACCOUNTABILITY,AU-2,AU-2,AUDIT EVENTS,The organization:,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-2,AU-2a,AUDIT EVENTS,Determines that the information system is capable of auditing the following events: [Assignment: organization-defined auditable events];,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-2,AU-2b,AUDIT EVENTS,Coordinates the security audit function with other organizational entities requiring audit-related information to enhance mutual support and to help guide the selection of auditable events;,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-2,AU-2c,AUDIT EVENTS,Provides a rationale for why the auditable events are deemed to be adequate to support after-the-fact investigations of security incidents; and,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-2,AU-2d,AUDIT EVENTS,Determines that the following events are to be audited within the information system: [Assignment: organization-defined audited events (the subset of the auditable events defined in AU-2 a.) along with the frequency of (or situation requiring) auditing for each identified event].,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-2 (1),AU-2 (1),COMPILATION OF AUDIT RECORDS FROM MULTIPLE SOURCES,[Withdrawn: Incorporated into AU-12].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-2 (2),AU-2 (2),SELECTION OF AUDIT EVENTS BY COMPONENT,[Withdrawn: Incorporated into AU-12].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-2 (3),AU-2 (3),REVIEWS AND UPDATES,The organization reviews and updates the audited events [Assignment: organization-defined frequency].,+,X,X,+,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-2 (4),AU-2 (4),PRIVILEGED FUNCTIONS,[Withdrawn: Incorporated into AC-6 (9)].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-3,AU-3,CONTENT OF AUDIT RECORDS,"The information system generates audit records containing information that establishes what type of event occurred, when the event occurred, where the event occurred, the source of the event, the outcome of the event, and the identity of any individuals or subjects associated with the event.",X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-3 (1),AU-3 (1),ADDITIONAL AUDIT INFORMATION,"The information system generates audit records containing the following additional information: [Assignment: organization-defined additional, more detailed information].",+,X,X,+,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-3 (2),AU-3 (2),CENTRALIZED MANAGEMENT OF PLANNED AUDIT RECORD CONTENT,The information system provides centralized management and configuration of the content to be captured in audit records generated by [Assignment: organization-defined information system components].,,,X,,,X,,,
AUDIT AND ACCOUNTABILITY,AU-4,AU-4,AUDIT STORAGE CAPACITY,The organization allocates audit record storage capacity in accordance with [Assignment: organization-defined audit record storage requirements].,,,,,,,X,X,X
AUDIT AND ACCOUNTABILITY,AU-4 (1),AU-4 (1),TRANSFER TO ALTERNATE STORAGE,The information system off-loads audit records [Assignment: organization-defined frequency] onto a different system or media than the system being audited.,+,+,+,+,+,+,+,+,+
AUDIT AND ACCOUNTABILITY,AU-5,AU-5,RESPONSE TO AUDIT PROCESSING FAILURES,The information system:,,,,,,,X,X,X
AUDIT AND ACCOUNTABILITY,AU-5,AU-5a,RESPONSE TO AUDIT PROCESSING FAILURES,Alerts [Assignment: organization-defined personnel or roles] in the event of an audit processing failure; and,,,,,,,X,X,X
AUDIT AND ACCOUNTABILITY,AU-5,AU-5b,RESPONSE TO AUDIT PROCESSING FAILURES,"Takes the following additional actions: [Assignment: organization-defined actions to be taken (e.g., shut down information system, overwrite oldest audit records, stop generating audit records)].",,,,,,,X,X,X
AUDIT AND ACCOUNTABILITY,AU-5 (1),AU-5 (1),AUDIT STORAGE CAPACITY,"The information system provides a warning to [Assignment: organization-defined personnel, roles, and/or locations] within [Assignment: organization-defined time period] when allocated audit record storage volume reaches [Assignment: organization-defined percentage] of repository maximum audit record storage capacity.",,,,,,,+,+,X
AUDIT AND ACCOUNTABILITY,AU-5 (2),AU-5 (2),REAL-TIME ALERTS,"The information system provides an alert in [Assignment: organization-defined real-time period] to [Assignment: organization-defined personnel, roles, and/or locations] when the following audit failure events occur: [Assignment: organization-defined audit failure events requiring real-time alerts].",,,,,,,,,X
AUDIT AND ACCOUNTABILITY,AU-5 (3),AU-5 (3),CONFIGURABLE TRAFFIC VOLUME THRESHOLDS,The information system enforces configurable network communications traffic volume thresholds reflecting limits on auditing capacity and [Selection: rejects; delays] network traffic above those thresholds.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-5 (4),AU-5 (4),SHUTDOWN ON FAILURE,"The information system invokes a [Selection: full system shutdown; partial system shutdown; degraded operational mode with limited mission/business functionality available] in the event of [Assignment: organization-defined audit failures], unless an alternate audit capability exists.",,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-6,AU-6,"AUDIT REVIEW, ANALYSIS, AND REPORTING",The organization:,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-6,AU-6a,"AUDIT REVIEW, ANALYSIS, AND REPORTING",Reviews and analyzes information system audit records [Assignment: organization-defined frequency] for indications of [Assignment: organization-defined inappropriate or unusual activity]; and,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-6,AU-6b,"AUDIT REVIEW, ANALYSIS, AND REPORTING",Reports findings to [Assignment: organization-defined personnel or roles].,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-6 (1),AU-6 (1),PROCESS INTEGRATION,"The organization employs automated mechanisms to integrate audit review, analysis, and reporting processes to support organizational processes for investigation and response to suspicious activities.",+,X,X,+,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-6 (2),AU-6 (2),AUTOMATED SECURITY ALERTS,[Withdrawn: Incorporated into SI-4].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-6 (3),AU-6 (3),CORRELATE AUDIT REPOSITORIES,The organization analyzes and correlates audit records across different repositories to gain organization-wide situational awareness.,+,X,X,+,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-6 (4),AU-6 (4),CENTRAL REVIEW AND ANALYSIS,The information system provides the capability to centrally review and analyze audit records from multiple components within the system.,+,+,+,+,+,+,,,
AUDIT AND ACCOUNTABILITY,AU-6 (5),AU-6 (5),INTEGRATION / SCANNING AND MONITORING CAPABILITIES,The organization integrates analysis of audit records with analysis of [Selection (one or more): vulnerability scanning information; performance data; information system monitoring information; [Assignment: organization-defined data/information collected from other sources]] to further enhance the ability to identify inappropriate or unusual activity.,,,X,,,X,,,
AUDIT AND ACCOUNTABILITY,AU-6 (6),AU-6 (6),CORRELATION WITH PHYSICAL MONITORING,"The organization correlates information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual, or malevolent activity.",,,X,,,X,,,
AUDIT AND ACCOUNTABILITY,AU-6 (7),AU-6 (7),PERMITTED ACTIONS,"The organization specifies the permitted actions for each [Selection (one or more): information system process; role; user] associated with the review, analysis, and reporting of audit information.",,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-6 (8),AU-6 (8),FULL TEXT ANALYSIS OF PRIVILEGED COMMANDS,"The organization performs a full text analysis of audited privileged commands in a physically distinct component or subsystem of the information system, or other information system that is dedicated to that analysis.",,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-6 (9),AU-6 (9),CORRELATION WITH INFORMATION FROM NONTECHNICAL SOURCES,The organization correlates information from nontechnical sources with audit information to enhance organization-wide situational awareness.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-6 (10),AU-6 (10),AUDIT LEVEL ADJUSTMENT,"The organization adjusts the level of audit review, analysis, and reporting within the information system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information.",+,+,+,+,+,+,,,
AUDIT AND ACCOUNTABILITY,AU-7,AU-7,AUDIT REDUCTION AND REPORT GENERATION,The information system provides an audit reduction and report generation capability that:,,X,X,,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-7,AU-7a,AUDIT REDUCTION AND REPORT GENERATION,"Supports on-demand audit review, analysis, and reporting requirements and after-the-fact investigations of security incidents; and",,X,X,,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-7,AU-7b,AUDIT REDUCTION AND REPORT GENERATION,Does not alter the original content or time ordering of audit records.,,X,X,,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-7 (1),AU-7 (1),AUTOMATIC PROCESSING,The information system provides the capability to process audit records for events of interest based on [Assignment: organization-defined audit fields within audit records].,,X,X,,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-7 (2),AU-7 (2),AUTOMATIC SORT AND SEARCH,The information system provides the capability to sort and search audit records for events of interest based on the content of [Assignment: organization-defined audit fields within audit records].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-8,AU-8,TIME STAMPS,The information system:,,,,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-8,AU-8a,SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE,Uses internal system clocks to generate time stamps for audit records; and,,,,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-8,AU-8b,SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE,Records time stamps for audit records that can be mapped to Coordinated Universal Time (UTC) or Greenwich Mean Time (GMT) and meets [Assignment: organization-defined granularity of time measurement].,,,,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-8 (1),AU-8 (1),SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE,The information system:,,,,+,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-8 (1),AU-8 (1)(a),SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE,Compares the internal information system clocks [Assignment: organization-defined frequency] with [Assignment: organization-defined authoritative time source]; and,,,,+,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-8 (1),AU-8 (1)(b),SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE,Synchronizes the internal system clocks to the authoritative time source when the time difference is greater than [Assignment: organization-defined time period].,,,,+,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-8 (1),AU-8 (2),SECONDARY AUTHORITATIVE TIME SOURCE,The information system identifies a secondary authoritative time source that is located in a different geographic region than the primary authoritative time source.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-9,AU-9,PROTECTION OF AUDIT INFORMATION,"The information system protects audit information and audit tools from unauthorized access, modification, and deletion.",X,X,X,X,X,X,X,X,X
AUDIT AND ACCOUNTABILITY,AU-9 (1),AU-9 (1),HARDWARE WRITE-ONCE MEDIA,"The information system writes audit trails to hardware-enforced, write-once media.",,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-9 (2),AU-9 (2),AUDIT BACKUP ON SEPARATE PHYSICAL SYSTEMS / COMPONENTS,The information system backs up audit records [Assignment: organization-defined frequency] onto a physically different system or system component than the system or component being audited.,,,,,,,,,X
AUDIT AND ACCOUNTABILITY,AU-9 (3),AU-9 (3),CRYPTOGRAPHIC PROTECTION,The information system implements cryptographic mechanisms to protect the integrity of audit information and audit tools.,,,,,,X,,,
AUDIT AND ACCOUNTABILITY,AU-9 (4),AU-9 (4),ACCESS BY SUBSET OF PRIVILEGED USERS,The organization authorizes access to management of audit functionality to only [Assignment: organization-defined subset of privileged users].,+,X,X,+,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-9 (5),AU-9 (5),DUAL AUTHORIZATION,The organization enforces dual authorization for [Selection (one or more): movement; deletion] of [Assignment: organization-defined audit information].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-9 (6),AU-9 (6),READ ONLY ACCESS,The organization authorizes read-only access to audit information to [Assignment: organization-defined subset of privileged users].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10,AU-10,NON-REPUDIATION,The information system protects against an individual (or process acting on behalf of an individual) falsely denying having performed [Assignment: organization-defined actions to be covered by non-repudiation].,,,,,+,X,,,
AUDIT AND ACCOUNTABILITY,AU-10 (1),AU-10 (1),ASSOCIATION OF IDENTITIES,The information system:,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (1),AU-10 (1)(a),ASSOCIATION OF IDENTITIES,Binds the identity of the information producer with the information to [Assignment: organization-defined strength of binding]; and,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (1),AU-10 (1)(b),ASSOCIATION OF IDENTITIES,Provides the means for authorized individuals to determine the identity of the producer of the information.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (2),AU-10 (2),VALIDATE BINDING OF INFORMATION PRODUCER IDENTITY,The information system:,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (2),AU-10 (2)(a),VALIDATE BINDING OF INFORMATION PRODUCER IDENTITY,Validates the binding of the information producer identity to the information at [Assignment: organization-defined frequency]; and,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (2),AU-10 (2)(b),VALIDATE BINDING OF INFORMATION PRODUCER IDENTITY,Performs [Assignment: organization-defined actions] in the event of a validation error.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (3),AU-10 (3),CHAIN OF CUSTODY,The information system maintains reviewer/releaser identity and credentials within the established chain of custody for all information reviewed or released.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (4),AU-10 (4),VALIDATE BINDING OF INFORMATION REVIEWER IDENTITY,The information system:,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (4),AU-10 (4)(a),VALIDATE BINDING OF INFORMATION REVIEWER IDENTITY,Validates the binding of the information reviewer identity to the information at the transfer or release points prior to release/transfer between [Assignment: organization-defined security domains]; and,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (4),AU-10 (4)(b),VALIDATE BINDING OF INFORMATION REVIEWER IDENTITY,Performs [Assignment: organization-defined actions] in the event of a validation error.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-10 (5),AU-10 (5),DIGITAL SIGNATURES,[Withdrawn: Incorporated into SI-7].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-11,AU-11,AUDIT RECORD RETENTION,The organization retains audit records for [Assignment: organization-defined time period consistent with records retention policy] to provide support for after-the-fact investigations of security incidents and to meet regulatory and organizational information retention requirements.,,,,,,,X,X,X
AUDIT AND ACCOUNTABILITY,AU-11 (1),AU-11 (1),LONG-TERM RETRIEVAL CAPABILITY,The organization employs [Assignment: organization-defined measures] to ensure that long-term audit records generated by the information system can be retrieved.,,,,,,,+,+,+
AUDIT AND ACCOUNTABILITY,AU-12,AU-12,AUDIT GENERATION,The information system:,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-12,AU-12a,AUDIT GENERATION,Provides audit record generation capability for the auditable events defined in AU-2 a. at [Assignment: organization-defined information system components];,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-12,AU-12b,AUDIT GENERATION,Allows [Assignment: organization-defined personnel or roles] to select which auditable events are to be audited by specific components of the information system; and,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-12,AU-12c,AUDIT GENERATION,Generates audit records for the events defined in AU-2 d. with the content defined in AU-3.,X,X,X,X,X,X,,,
AUDIT AND ACCOUNTABILITY,AU-12 (1),AU-12 (1),SYSTEM-WIDE / TIME-CORRELATED AUDIT TRAIL,The information system compiles audit records from [Assignment: organization-defined information system components] into a system-wide (logical or physical) audit trail that is time-correlated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].,,,,+,+,X,,,
AUDIT AND ACCOUNTABILITY,AU-12 (2),AU-12 (2),STANDARDIZED FORMATS,The information system produces a system-wide (logical or physical) audit trail composed of audit records in a standardized format.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-12 (3),AU-12 (3),CHANGES BY AUTHORIZED INDIVIDUALS,The information system provides the capability for [Assignment: organization-defined individuals or roles] to change the auditing to be performed on [Assignment: organization-defined information system components] based on [Assignment: organization-defined selectable event criteria] within [Assignment: organization-defined time thresholds].,+,+,X,+,+,X,,,
AUDIT AND ACCOUNTABILITY,AU-13,AU-13,MONITORING FOR INFORMATION DISCLOSURE,The organization monitors [Assignment: organization-defined open source information and/or information sites] [Assignment: organization-defined frequency] for evidence of unauthorized disclosure of organizational information.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-13 (1),AU-13 (1),USE OF AUTOMATED TOOLS,The organization employs automated mechanisms to determine if organizational information has been disclosed in an unauthorized manner.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-13 (2),AU-13 (2),REVIEW OF MONITORED SITES,The organization reviews the open source information sites being monitored [Assignment: organization-defined frequency].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-14,AU-14,SESSION AUDIT,The information system provides the capability for authorized users to select a user session to capture/record or view/hear.,+,+,+,+,+,+,,,
AUDIT AND ACCOUNTABILITY,AU-14 (1),AU-14 (1),SYSTEM START-UP,The information system initiates session audits at system start-up.,+,+,+,+,+,+,,,
AUDIT AND ACCOUNTABILITY,AU-14 (2),AU-14 (2),CAPTURE/RECORD AND LOG CONTENT,The information system provides the capability for authorized users to capture/record and log content related to a user session.,+,+,+,+,+,+,,,
AUDIT AND ACCOUNTABILITY,AU-14 (3),AU-14 (3),REMOTE VIEWING / LISTENING,The information system provides the capability for authorized users to remotely view/hear all content related to an established user session in real time.,+,+,+,,,,,,
AUDIT AND ACCOUNTABILITY,AU-15,AU-15,ALTERNATE AUDIT CAPABILITY,The organization provides an alternate audit capability in the event of a failure in primary audit capability that provides [Assignment: organization-defined alternate audit functionality].,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-16,AU-16,CROSS-ORGANIZATIONAL AUDITING,The organization employs [Assignment: organization-defined methods] for coordinating [Assignment: organization-defined audit information] among external organizations when audit information is transmitted across organizational boundaries.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-16 (1),AU-16 (1),IDENTITY PRESERVATION,The organization requires that the identity of individuals be preserved in cross-organizational audit trails.,,,,,,,,,
AUDIT AND ACCOUNTABILITY,AU-16 (2),AU-16 (2),SHARING OF AUDIT INFORMATION,The organization provides cross-organizational audit information to [Assignment: organization-defined organizations] based on [Assignment: organization-defined cross-organizational sharing agreements].,,,,,,,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-1,CA-1,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,The organization:,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-1,CA-1a,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,"Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]:",X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-1,CA-1a.1,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,"A security assessment and authorization policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-1,CA-1a.2,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,Procedures to facilitate the implementation of the security assessment and authorization policy and associated security assessment and authorization controls; and,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-1,CA-1b,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,Reviews and updates the current:,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-1,CA-1b.1,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,Security assessment and authorization policy [Assignment: organization-defined frequency]; and,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-1,CA-1b.2,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,Security assessment and authorization procedures [Assignment: organization-defined frequency].,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,CA-2,SECURITY ASSESSMENTS,The organization:,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,CA-2a,SECURITY ASSESSMENTS,Develops a security assessment plan that describes the scope of the assessment including:,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,CA-2a.1,SECURITY ASSESSMENTS,Security controls and control enhancements under assessment;,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,CA-2a.2,SECURITY ASSESSMENTS,Assessment procedures to be used to determine security control effectiveness; and,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,CA-2a.3,SECURITY ASSESSMENTS,"Assessment environment, assessment team, and assessment roles and responsibilities;",X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,CA-2b,SECURITY ASSESSMENTS,"Assesses the security controls in the information system and its environment of operation [Assignment: organization-defined frequency] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security requirements;",X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,CA-2c,SECURITY ASSESSMENTS,Produces a security assessment report that documents the results of the assessment; and,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,CA-2d,SECURITY ASSESSMENTS,Provides the results of the security control assessment to [Assignment: organization-defined individuals or roles].,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2 (1),CA-2 (1),INDEPENDENT ASSESSORS,The organization employs assessors or assessment teams with [Assignment: organization-defined level of independence] to conduct security control assessments.,+,X,X,+,X,X,+,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2 (2),CA-2 (2),SPECIALIZED ASSESSMENTS,"The organization includes as part of security control assessments, [Assignment: organization-defined frequency], [Selection: announced; unannounced], [Selection (one or more): in-depth monitoring; vulnerability scanning; malicious user testing; insider threat assessment; performance/load testing; [Assignment: organization-defined other forms of security assessment]].",,,X,,,X,,,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2 (3),CA-2 (3),EXTERNAL ORGANIZATIONS,The organization accepts the results of an assessment of [Assignment: organization-defined information system] performed by [Assignment: organization-defined external organization] when the assessment meets [Assignment: organization-defined requirements].,,,,,,,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3,CA-3,SYSTEM INTERCONNECTIONS,The organization:,X,X,X,X,X,X,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3,CA-3a,SYSTEM INTERCONNECTIONS,Authorizes connections from the information system to other information systems through the use of Interconnection Security Agreements;,X,X,X,X,X,X,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3,CA-3b,SYSTEM INTERCONNECTIONS,"Documents, for each interconnection, the interface characteristics, security requirements, and the nature of the information communicated; and",X,X,X,X,X,X,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3,CA-3c,SYSTEM INTERCONNECTIONS,Reviews and updates Interconnection Security Agreements [Assignment: organization-defined frequency].,X,X,X,X,X,X,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3 (1),CA-3 (1),UNCLASSIFIED NATIONAL SECURITY SYSTEM CONNECTIONS,"The organization prohibits the direct connection of an [Assignment: organization-defined unclassified, national security system] to an external network without the use of [Assignment: organization-defined boundary protection device].",+,+,+,,,,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3 (2),CA-3 (2),CLASSIFIED NATIONAL SECURITY SYSTEM CONNECTIONS,"The organization prohibits the direct connection of a classified, national security system to an external network without the use of [Assignment: organization-defined boundary protection device].",,,,,,,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3 (3),CA-3 (3),UNCLASSIFIED NON-NATIONAL SECURITY SYSTEM CONNECTIONS,"The organization prohibits the direct connection of an [Assignment: organization-defined unclassified, non-national security system] to an external network without the use of [Assignment; organization-defined boundary protection device].",,,,,,,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3 (4),CA-3 (4),CONNECTIONS TO PUBLIC NETWORKS,The organization prohibits the direct connection of an [Assignment: organization-defined information system] to a public network.,,,,,,,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3 (5),CA-3 (5),RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,"The organization employs [Selection: allow-all, deny-by-exception; deny-all, permit-by-exception] policy for allowing [Assignment: organization-defined information systems] to connect to external information systems.",+,X,X,+,X,X,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-4,CA-4,SECURITY CERTIFICATION,[Withdrawn: Incorporated into CA-2].,,,,,,,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-5,CA-5,PLAN OF ACTION AND MILESTONES,The organization:,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-5,CA-5a,PLAN OF ACTION AND MILESTONES,Develops a plan of action and milestones for the information system to document the organization's planned remedial actions to correct weaknesses or deficiencies noted during the assessment of the security controls and to reduce or eliminate known vulnerabilities in the system; and,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-5,CA-5b,PLAN OF ACTION AND MILESTONES,"Updates existing plan of action and milestones [Assignment: organization-defined frequency] based on the findings from security controls assessments, security impact analyses, and continuous monitoring activities.",X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-5 (1),CA-5 (1),AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,"The organization employs automated mechanisms to help ensure that the plan of action and milestones for the information system is accurate, up to date, and readily available.",,,,,,,,,
SECURITY ASSESSMENT AND AUTHORIZATION,CA-6,CA-6,SECURITY AUTHORIZATION,The organization:,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-6,CA-6a,SECURITY AUTHORIZATION,Assigns a senior-level executive or manager as the authorizing official for the information system;,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-6,CA-6b,SECURITY AUTHORIZATION,Ensures that the authorizing official authorizes the information system for processing before commencing operations; and,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-6,CA-6c,SECURITY AUTHORIZATION,Updates the security authorization [Assignment: organization-defined frequency].,X,X,X,X,X,X,X,X,X
SECURITY ASSESSMENT AND AUTHORIZATION,CA-7,CA-7,CONTINUOUS MONITORING,The organization develops a continuous monitoring strategy and implements a continuous monitoring program that includes:,X,X,X,X,X,X,X,X,X
